ID,ISO3,add_or_remove,acaps_category,acaps_measure,acaps_comments,source,bucky_measure,start_date,end_date,affected_pcodes,compliance_level,can_be_modelled,final_input,npis_linked,ocha_comments
,,,,,,,,,Please fill end dates if you know that any of these interventions have been lifted,,Please fill your estimated compliance level (0-100%) for the green interventions,,,,
191,COD,add,Public health measures,Isolation and quarantine policies,"14day quarantine for high risk countries including mainland China, South Korea, Iran, Italy. Also for travelers with COVID-19 symptoms. | | | targeted pop group: Yes | non compliance: Not applicable",US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ |,social distancing,2020-03-10,,,,No,No,,
204,COD,add,Public health measures,Health screenings in airports and border crossings,"Health screenings at airports for COVID-19 symptoms, travelers with symptoms have to quarantine for 14 days | | | targeted pop group: No | non compliance: Not applicable",US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ |,closing borders,2020-03-10,,,,No,No,,
1126,COD,add,Movement restrictions,International flights suspension,All international passenger flights until at least April 3. Only cargo flights and boats will be permitted entry. | | | targeted pop group: Yes | non compliance: Not applicable,Ministry of Foreign Affairs — France | source type: Government | link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/ | alternative source: https://cd.usembassy.gov/covid-19-information/,closing borders,2020-03-20,,,,No,No,,
1127,COD,add,Social distancing,Schools closure,Until April 17 | | | targeted pop group: No | non compliance: Not applicable,US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ | alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,school closure,2020-03-19,2020-04-01,,,No,No,,
1128,COD,add,Social distancing,Limit public gatherings,Gathering of more than 20 people are banned. | | | targeted pop group: No | non compliance: Not applicable,US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ | alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,2020-03-18,,,,No,No,,
1129,COD,add,Public health measures,Isolation and quarantine policies,"All travelers entering the DRC who have a fever will be tested, and any persons positive for COVID-19 will be hospitalized at DRC government expense. Both categories will be subject to a mandatory 14-day quarantine. All persons traveling domestically from Kinshasa to other provinces will be subject to preventative screening. | | | targeted pop group: No | non compliance: Not applicable",US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ | alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,social distancing,2020-03-20,,,,No,No,,
1130,COD,add,Social distancing,Limit public gatherings,"Bars, cafe and restaurants are closed until further notice. | | | targeted pop group: No | non compliance: Not applicable",US Embassy | source type: Government | link: https://cd.usembassy.gov/covid-19-information/ | alternative source: https://www.stopcoronavirusrdc.info/mesures-de-protection-contre-le-coronavirus,reduction of size of gatherings,2020-03-18,,,,No,No,,
2704,COD,add,Movement restrictions,Border closure,All borders are closed except trade transportation. | | | targeted pop group: No | non compliance: Not applicable,Ministry of Foreign Affairs — France | source type: Government | link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/ |,closing borders,2020-03-25,,,,No,No,9728,
2705,COD,add,Movement restrictions,Domestic travel restrictions,Domestic travels between Kinshasa and the rest of the country are forbidden. Does not apply to trade. | | | targeted pop group: No | non compliance: Not applicable,Ministry of Foreign Affairs — France | source type: Government | link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/ |,closing borders,2020-03-25,2020-08-15,"['CD7101', 'CD6109', 'CD6101', 'CD10']",50%,Yes,Yes,12064 - 7009 - 2705,Lifing from 15228
2706,COD,add,Social distancing,Limit public gatherings,Public gathering are not allowed in the streets. | | | targeted pop group: No | non compliance: Not applicable,Ministry of Foreign Affairs — France | source type: Government | link: https://www.diplomatie.gouv.fr/fr/conseils-aux-voyageurs/conseils-par-pays-destination/republique-democratique-du-congo/ |,reduction of size of gatherings,2020-03-25,,,,No,No,,
2707,COD,add,Lockdown,Partial lockdown,"All residents of Kinshasa, apart from essential workers such as medical staff, would have to stay at home for four days minimum. Update 03/04/2020, the measure has been postponed but is expected to be implemented for 14 days. | admin level name: Kinshasa | | targeted pop group: No | non compliance: Not applicable",BBC | source type: Media | link: https://www.bbc.com/news/topics/cvenzmgylgwt/democratic-republic-of-congo | alternative source: https://cd.usembassy.gov/covid-19-information/,partial lockdown,2020-03-28,,,,No,No,6436,
